284,405	0,101
284,41	0,101
284,415	0,101
284,42	0,101
284,425	0,101
284,43	0,101
284,435	0,101
284,44	0,102
284,445	0,103
284,45	0,104
284,455	0,104
284,46	0,105
284,465	0,106
284,47	0,106
284,475	0,106
284,48	0,105
284,485	0,105
284,49	0,104
284,495	0,103
284,5	0,102
284,505	0,101
284,51	0,101
284,515	0,101
284,52	0,101
284,525	0,102
284,53	0,102
284,535	0,102
284,54	0,102
284,545	0,102
284,55	0,102
284,555	0,102
284,56	0,102
284,565	0,103
284,57	0,103
284,575	0,103
284,58	0,103
284,585	0,103
284,59	0,103
284,595	0,102
284,6	0,102
284,605	0,101
284,61	0,101
284,615	0,100
284,62	0,100
284,625	0,101
284,63	0,101
284,635	0,102
284,64	0,102
284,645	0,102
284,65	0,102
284,655	0,102
284,66	0,102
284,665	0,101
284,67	0,101
284,675	0,101
284,68	0,101
284,685	0,102
284,69	0,102
284,695	0,102
284,7	0,102
284,705	0,102
284,71	0,102
284,715	0,101
284,72	0,101
284,725	0,100
284,73	0,100
284,735	0,100
284,74	0,100
284,745	0,101
284,75	0,102
284,755	0,103
284,76	0,104
284,765	0,104
284,77	0,105
284,775	0,104
284,78	0,103
284,785	0,103
284,79	0,102
284,795	0,101
284,8	0,100
284,805	0,100
284,81	0,101
284,815	0,101
284,82	0,101
284,825	0,102
284,83	0,103
284,835	0,103
284,84	0,103
284,845	0,103
284,85	0,103
284,855	0,103
284,86	0,103
284,865	0,103
284,87	0,102
284,875	0,102
284,88	0,101
284,885	0,101
284,89	0,101
284,895	0,100
284,9	0,100
284,905	0,101
284,91	0,101
284,915	0,102
284,92	0,102
284,925	0,103
284,93	0,104
284,935	0,104
284,94	0,104
284,945	0,105
284,95	0,105
284,955	0,104
284,96	0,103
284,965	0,102
284,97	0,101
284,975	0,100
284,98	0,100
284,985	0,100
284,99	0,101
284,995	0,102
285,0	0,103
285,005	0,104
285,01	0,106
285,015	0,110
285,02	0,119
285,025	0,135
285,03	0,160
285,035	0,197
285,04	0,248
285,045	0,314
285,05	0,392
285,055	0,481
285,06	0,577
285,065	0,680
285,07	0,785
285,075	0,889
285,08	0,991
285,085	1,091
285,09	1,185
285,095	1,275
285,1	1,359
285,105	1,436
285,11	1,506
285,115	1,569
285,12	1,624
285,125	1,673
285,13	1,713
285,135	1,747
285,14	1,773
285,145	1,794
285,15	1,808
285,155	1,816
285,16	1,819
285,165	1,818
285,17	1,812
285,175	1,802
285,18	1,789
285,185	1,773
285,19	1,754
285,195	1,732
285,2	1,707
285,205	1,679
285,21	1,649
285,215	1,615
285,22	1,579
285,225	1,540
285,23	1,498
285,235	1,453
285,24	1,406
285,245	1,356
285,25	1,304
285,255	1,249
285,26	1,193
285,265	1,136
285,27	1,079
285,275	1,021
285,28	0,965
285,285	0,909
285,29	0,856
285,295	0,804
285,3	0,754
285,305	0,707
285,31	0,661
285,315	0,618
285,32	0,577
285,325	0,538
285,33	0,502
285,335	0,466
285,34	0,433
285,345	0,402
285,35	0,373
285,355	0,345
285,36	0,319
285,365	0,295
285,37	0,272
285,375	0,251
285,38	0,231
285,385	0,213
285,39	0,198
285,395	0,183
285,4	0,170
285,405	0,159
285,41	0,149
285,415	0,140
285,42	0,131
285,425	0,124
285,43	0,118
285,435	0,112
285,44	0,107
285,445	0,102
285,45	0,098
285,455	0,094
285,46	0,090
285,465	0,088
285,47	0,085
285,475	0,083
285,48	0,081
285,485	0,079
285,49	0,078
285,495	0,076
285,5	0,075
285,505	0,075
285,51	0,074
285,515	0,073
285,52	0,073
285,525	0,072
285,53	0,072
285,535	0,072
285,54	0,072
285,545	0,072
285,55	0,072
285,555	0,072
285,56	0,072
285,565	0,072
285,57	0,072
285,575	0,072
285,58	0,072
285,585	0,072
285,59	0,072
285,595	0,071
285,6	0,071
285,605	0,071
285,61	0,071
285,615	0,071
285,62	0,071
285,625	0,072
285,63	0,073
285,635	0,073
285,64	0,074
285,645	0,076
285,65	0,077
285,655	0,078
285,66	0,078
285,665	0,079
285,67	0,079
285,675	0,078
285,68	0,078
285,685	0,077
285,69	0,076
285,695	0,076
285,7	0,076
285,705	0,076
285,71	0,076
285,715	0,077
285,72	0,077
285,725	0,078
285,73	0,079
285,735	0,080
285,74	0,080
285,745	0,081
285,75	0,081
285,755	0,080
285,76	0,080
285,765	0,080
285,77	0,080
285,775	0,079
285,78	0,079
285,785	0,079
285,79	0,079
285,795	0,079
285,8	0,079
285,805	0,080
285,81	0,080
285,815	0,080
285,82	0,081
285,825	0,082
285,83	0,082
285,835	0,083
285,84	0,084
285,845	0,085
285,85	0,085
285,855	0,086
285,86	0,086
285,865	0,086
285,87	0,086
285,875	0,085
285,88	0,085
285,885	0,084
285,89	0,084
285,895	0,084
285,9	0,084
285,905	0,085
285,91	0,085
285,915	0,086
285,92	0,086
285,925	0,087
285,93	0,087
285,935	0,087
285,94	0,087
285,945	0,087
285,95	0,087
285,955	0,087
285,96	0,087
285,965	0,088
285,97	0,088
285,975	0,088
285,98	0,089
285,985	0,089
285,99	0,089
285,995	0,089
286,0	0,089
286,005	0,089
286,01	0,089
286,015	0,089
286,02	0,090
286,025	0,091
286,03	0,092
286,035	0,092
286,04	0,093
286,045	0,093
286,05	0,093
286,055	0,093
286,06	0,093
286,065	0,093
286,07	0,093
286,075	0,093
286,08	0,092
286,085	0,092
286,09	0,092
286,095	0,091
286,1	0,091
286,105	0,091
286,11	0,092
286,115	0,092
286,12	0,093
286,125	0,094
286,13	0,096
286,135	0,096
286,14	0,097
286,145	0,097
286,15	0,097
286,155	0,097
286,16	0,097
286,165	0,097
286,17	0,097
286,175	0,097
286,18	0,097
286,185	0,097
286,19	0,097
286,195	0,097
